updated_description,updated_keywords,__index_level_0__,generated_keywords
"The dataset provides 2694 stereomicroscopic 8-bit RGB JPEG images of 44 sampling times from two 48 h submerged cultivations of the filamentous fungus Aspergillus niger. The cultivations were performed in shake flasks with identical cultivation parameters. About 1300 images were taken for each cultivation flask. At least 24 images per culture and sampling time were taken. The stereomicroscopic images depict the development of Aspergillus niger pellets starting from the agglomeration of spores after inoculation followed by spore germination and outgrowth into a pellet population. The following pixel sizes and field of views (FoV) were used at the different sampling times: 0 h – 1.5 h, pixel size 0.82 µm, FoV 1.49 mm × 1.12 mm; 2 h – 2.5 h, pixel size 1.63 µm, FoV 2.97 mm × 2.22 mm; 3 h – 3.5 h, pixel size 3.33 µm, FoV 6.07 mm × 4.55 mm; 4 h – 48 h, pixel size 4.08 µm, FoV 7.44 mm × 5.58 mm.","aspergillus-niger, differential-interference-contrast, image-analysis, microscopy, morphology-development, pellet-growth, spore-agglomeration-aggregation, stereomicroscopy",2903,"aspergillosis, submerged-cultivation, spore-germination, fungus"
Symmetric Input-Output Table of Domestic Product Flows (NACE Rev 2),"NIA19, cso, national-accounts",2488,"CIS28, cso, international-accounts"
Healthcare professionals providing easy-to-understand explanations to inpatient service users,"HSPAD12, cso, department-of-health",2360,"HSPAE14, cso, department-of-health"
"Harmonised Indices of Consumer Prices (HICP) are designed for international comparisons of consumer price inflation. HICPs are used for the assessment of the inflation convergence criterion as required under Article 121 of the Treaty of Amsterdam and by the ECB for assessing price stability for monetary policy purposes. The ECB defines price stability on the basis of the annual rate of change of the euro area HICP. HICPs are compiled on the basis of harmonised standards, binding for all Member States. Conceptually, the HICP are Laspeyres-type price indices and are computed as annual chain-indices allowing for weights changing each year. HICP are broken down by category of consumption expenditure on the basis of the ECOICOP-HICP classification. HICP are produced and published using a common index reference period (2015 = 100). Growth rates are calculated from published index levels. Indexes, as well as both growth rates with respect to the previous month (M/M-1) and with respect to the corresponding month of the previous year (M/M-12) are neither calendar nor seasonally adjusted.","Geopolitical entity (reporting), Time frequency, Unit of measure",729,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Transport by type of good (from 2007 onwards with NST2007),"Geopolitical entity (reporting), 20 group), Time frequency, Transport coverage, Type of packaging, Unit of measure",472,"Geopolitical entity (reporting), Item of goods, Time frequency, Unit of measure"
"Persons having experienced renting difficulties in the last 12 months by sex, age and level of disability (activity limitation)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",2082,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Persons with a confirmed long-term condition,"HIS07, cso, department-of-health",2513,"HSPAA35, cso, department-of-health"
Gross Energy Consumption,"SEI05, cso, sustainable-energy-authority-of-ireland",2246,"GEC02, cso, life-in-ireland"
"This indicator corresponds to the sum of persons who are: at risk of poverty after social transfers, severely materially or socially deprived or living in households with very low work intensity. Persons are counted only once even if they are affected by more than one of these phenomena. The data is presented by degree of urbanisation. Based on the share of local population living in urban clusters and in urban centres, this typology classifies Local Administrative Units (LAU or communes) into three types of area: • Cities (densely populated areas) • Towns and suburbs (intermediate density areas) • Rural areas (thinly populated areas).","Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure",65,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure"
Energy taxes by paying sector,"Geopolitical entity (reporting), Time frequency, Unit of measure",2980,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Table of INEBase
Establishments, vacancies, occupancy rate and employed personnel by Autonomous Communities. Monthly. Autonomous Communities and Cities. Hostel Occupancy Survey","Catering and tourism, Employed personnel, Hostel Occupancy Survey, Statistics, Tourist supply, Touristic Concept",1539,"Catering and tourism, Employed personnel, Hostel Occupancy Survey, Statistics, Tourist supply, Touristic Concept"
Direct Investment Position BPM6,"BPA36, cso, international-accounts",2580,"BPA37, cso, international-accounts"
"Capacities, production, fuel used and energy savings in combined heat and power (CHP) by type of plant, generation technologies and primary energy savings levels","Energy balance, Generation technologies, Geopolitical entity (reporting), Level of efficiency, Time frequency, Type of plant, Unit of measure",1984,"Generator technologies, Geopolitical entity (reporting), Level of energy savings, Time frequency, Unit of measure"
Early leavers from education and training by sex and level of disability (activity limitation),"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1164,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect),"Effects, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",2083,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Type of temporary solution, Unit of measure"
Share of children (aged less than 18) living with their parents by type of household - EU-SILC survey,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure",240,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure"
Participation rate in education and training by degree of urbanisation,"Age class, Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Training, Unit of measure",1785,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure"
Deaths (total) by month,"Geopolitical entity (reporting), Month, Time frequency, Unit of measure",1435,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Allocation of DCEDIY accommodation for Beneficiaries of Temporary Protection (BoTPs),"UA33, cso, ukraine-hub",2683,"Accommodation, BoTP, BoP, Housing and Zoning, IFI, OGC::WFS, Statistics, WMI"
"Self-propelled vessels, dumb and pushed vessels by load capacity","Geopolitical entity (reporting), Time frequency, Type of vessel, Unit of measure, Weight",1948,"Geopolitical entity (reporting), Time frequency, Unit of measure, Weight"
"This is a Dataset of the air quality Zones listed on http://www.epa.ie/air/quality/zones/. 

The Zones were defined Initially in the Air Quality Regulations (SI 180 of 2011). The EPA reviews the Zones regularly and amends when necessary.","air monitoring, air quality, air quality control, air quality monitoring, air quality zones, environment, environmental monitoring facilities, ie",429,"environment, health, ie, indoor air quality, pollution, protection, product distribution, protected sites, radioactive contamination, radionuclide"
"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","Age class, Geopolitical entity (reporting), Number of books, Sex, Time frequency, Unit of measure",1678,"Age class, Number of books, Sex, Time frequency, Unit of measure"
"Table of INEBase
Overall and by activity sector. Annual. National. Stock and Supply Short-term Survey","Statistics, Total trade",1409,"Activity sectors, Corporate, Financial position, Geopolitical entity (reporting), Sector, Time frequency, Unit of measure"
Waiting List Basis of Need of HAP Tenants,"HAP24, cso, housing-and-households",2599,"HAP24, cso, housing-and-households"
Services trade by enterprise characteristics (STEC) by EBOPS 2010 items and NACE Rev.2 activities,"Geopolitical entity (partner), Geopolitical entity (reporting), Stock or flow, Time frequency, Unit of measure",1153,"Business trend indicator, Geopolitical entity (partner), Geopolitics, Time frequency, Unit of measure"
Material flow accounts - domestic processed output,"Geopolitical entity (reporting), Materials, Time frequency, Unit of measure",1886,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Indices of Average Earnings and Hours Worked excluding Irregular Earnings for Enterprises with greater than 10 employees (Base 2000=100),"EHQ12, cso, earnings",2269,"EHQ03, cso, earnings"
"Newly employed (share of people in current job for 12 months or less, in total employment) by age, professional status and citizenship","Age class, Country of citizenship, Geopolitical entity (reporting), Time frequency, Unit of measure",1285,"Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Employment by sex, age and NUTS 2 region (1 000)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1181,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Sheep losses (deaths) during summering in the summering zone in Switzerland and in Liechtenstein.,"livestock, sheep, summering",928,"summering, sheep, summering zones, winter"
Recorded Crime - Ardnacassa,"SNSA31, cso, sub-national-statistics",2546,"CJA08, crime-and-justice, cso"
"Gross domestic product (GDP) is a measure of the economic activity, defined as the value of all goods and services produced less the value of any goods or services used in their creation. The calculation of the annual growth rate of GDP volume is intended to allow comparisons of the dynamics of economic development both over time and between economies of different sizes. For measuring the growth rate of GDP in terms of volumes, the GDP at current prices are valued in the prices of the previous year and the thus computed volume changes are imposed on the level of a reference year; this is called a chain-linked series. Accordingly, price movements will not inflate the growth rate.","Geopolitical entity (reporting), Time frequency, Unit of measure",271,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Common Farmland Bird Indicator Change,"GCA17, cso, ecosystem-accounts",2278,"CFI03, cso, ecosystem-accounts"
"The indicator is defined as the ratio of the median individual gross pensions of 65-74 age category relative to median individual gross earnings of 50-59 age category, excluding other social benefits. The indicator is based on the EU-SILC (statistics on income, social inclusion and living conditions).","Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",163,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
On Road Bicycles Warning Sign with keep distance 5m with high visibility around the county of Fingal County Council,"ActiveTravel, Cycling, Health, Road, Road Safety, Roads and Transportation, Safety, Transportation, Warning Signs",566,"bicycles, environment, health warnings, ie, road safety, road traffic, risk assessment, vehicle"
"Foreign direct investment (FDI) is a category of investment that reflects the objective of establishing a lasting interest by a resident enterprise in one economy (direct investor) in an enterprise (direct investment enterprise) that is resident in an economy other than that of the direct investor. The lasting interest implies the existence of a long-term relationship between the direct investor and the direct investment enterprise and a significant degree of influence on the management of the enterprise. The lasting interest is deemed to exist if the investor acquires at least 10% of the voting power of the direct investment enterprise. Data are expressed as % of GDP to remove the effect of differences in the size of the economies of the reporting countries. FDI comprises: - Equity capital comprises equity in branches as well as all shares in subsidiaries and associates. - Reinvested earnings consist of the offsetting entry to the direct investor’s share of earnings not distributed as dividends by subsidiaries or associates, and earnings of branches not remitted to the direct investor and which are recorded under Investment income. - Debt instruments Direct investment is classified primarily on a directional basis: 1) Resident direct investment abroad (Outward direct investment) 2) Non-resident investment in the reporting economy (Inward direct investment). The Inward direct investment is investment by a non-resident direct investor in a direct investment enterprise resident in the host economy; the direction of the influence by the direct investor is inward for the reporting economy. Starting from October 2014 definitions are based on the IMF's Sixth Balance of Payments Manual (BPM6).","BOP_item, Geopolitical entity (partner), Geopolitical entity (reporting), Seasonal adjustment, Stock or flow, Time frequency, Unit of measure",3035,"BOP_item, Geopolitical entity (partner), Geopolital entity (reporting), Seasonal adjustment, Stock or flow, Time frequency, Unit of measure"
International transport of passengers from the reporting country to the country of disembarkation,"Geopolitical entity (partner), Geopolitical entity (reporting), Time frequency, Train category, Unit of measure",700,"Country/region of disembarkation, Geopolitical entity (reporting), Time frequency, Unit of measure"
Number of Years Health graduates are ‘Not Captured’ in the Administrative Data,"HGO06, cso, education",2756,"HGO04, cso, education"
Sensitivity analysis of accrued-to-date pension entitlements in general government pension schemes outside of core national accounts - annual data,"Geopolitical entity (reporting), Pension scheme, Sector, Time frequency, Unit of measure",2043,"Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Your rights and procedures for associations contain: 100 sheets and questions answers, several resources and links to public sites (forms, online procedures, reference texts, public websites, etc.) to exercise your rights and carry out your steps.","association, associations, dila, service-public, service-public-fr",1813,"associations, business, human-rights, ie, procedures, rights"
"Our MITI Dataset provides all the necessary data by a complete recording of a handheld surgical intervention at Research Hospital Rechts der Isar of TUM. It contains multimodal sensor information from IMU, stereoscopic video, and infrared (IR) tracking as ground truth for evaluation. Furthermore, calibration for the stereoscope, accelerometer, magnetometer, the rigid transformations in the sensor setup, and time-offsets are available. We wisely chose a suitable intervention that contains very few cutting and tissue deformation and shows a full scan of the abdomen with a handheld camera such that it is ideal for testing SLAM algorithms. Intending to promote the progress of visual-inertial algorithms designed for MIS application, we hope that our clinical training dataset helps and enables researchers to enhance algorithms.","benchmark, inertial-measurement-unit, infrared-tracking, laparoscopy-surgery, localization, minimally-invasive, sfm, slam, stereoscopic, visceral, visual, visual-inertial",2911,"clinical-training, cso, deep-learning, human-machine-interaction, mtidataset, multimodal-sensor-information"
Pupil in First Year of Junior Cycle,"ED124, cso, department-of-education",2335,"SCA22, cso, department-of-education"
"Slip, trip or fall incidents as reported to NIMS that were classified as major or extreme","HSPAE22, cso, department-of-health",2536,"Geopolitical entity (reporting), Severity (days lost), Time frequency, Unit of measure"
New Group Layer,"Community, Facilities, SDCC, South Dublin, Sports, Youth",597,"BGQ38, census-2022, cso"
"Population by sex, age, citizenship, labour status and degree of urbanisation","Age class, Country of citizenship, Degree of urbanisation, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1175,"Age class, Country of citizenship, Degree of urbanisation, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
The mean age of women at childbirth is the mean age of women when their children are born. The mean age of women at birth of first child is the mean age of women when their first children are born.,"Demographic indicator, Geopolitical entity (reporting), Time frequency",1478,"Age class, Geopolitical entity (reporting), Time frequency, Unit of measure"
Services trade by enterprise characteristics (STEC) by NACE Rev.2 activities and type of ownership,"Enterprise, Geopolitical entity (partner), Geopolitical entity (reporting), Stock or flow, Time frequency, Unit of measure",1296,"Geopolitical entity (partner), Geography, Geopolitics, Time frequency, Unit of measure"
Persons who used to smoke,"HIS12, cso, department-of-health",2725,"HSPAE27, cso, department-of-health"
"Employment by sex, age, economic activity and NUTS 2 region (NACE Rev. 2) (1 000)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1180,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Labour market - cities and greater cities,"Geopolitical entity (declaring), Time frequency, Urban audit indicator",461,"Geopolitical entity (declaring), Time frequency, Urban audit indicator"
"Data and code from the perspective paper ""When honeybees comes to town"" 
The .r file provides the code to generate the figures.
In addition, this repository contains the data for the figures 1-3. 
For Figure 4, part of the data is confidential, Please, refer to the contacts provided:
- For the distribution of hives in Zurich (2018): https://www.zh.ch/de/gesundheitsdirektion/veterinaeramt.html
- For the overheating map of Zurich: Prof. Dr. Eberhard Parlow / Stadt Zurich (https://www.zh.ch/de/umwelt-tiere/umweltschutz/umweltpraxis/definitionsseite/2012/68/zup068_2012_a0030_klimaanalyse-pdf.html)","diversity-distributions, hymenoptera, insects, urban-beekeeping, urban-ecology, wildbees",1826,"bees, climate change, hive, honeybee, overheating, zup068_2012_a0030_klimaanalyse"
"This dataset includes data from a community-based random cluster survey on febrile seizures in Kinondoni, Dar es Salaam, Tanzania. Data collection is described in detail in the manuscript „ Prevalence and clinical characteristics of febrile seizures in an urban Tanzanian population: a community-based random cluster survey“.","febrile-seizures, global-health, screening, tanzania",2881,"febrile-seizures, drct, department-of-health, tanzania"
Service producer prices growth rates - quarterly data,"Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",501,"Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure"
Length of electrified and non-electrified railway lines by track gauge,"Geopolitical entity (reporting), Rail track gauge, Time frequency, Transport infrastructure, Unit of measure",1990,"Geopolitical entity (reporting), Time frequency, Train gauge, Unit of measure"
"Data from charging stations for electric vehicles and plug-in hybrids – Electric Vehicle Recharge Infrastructure (IRVE) have been geolocated since 2016.

The displayed data specifies the type of equipment deployed whether it is a normal charging station (up to 22 kW) or fast (beyond 22 kW) as well as the connectors available. 

You can find real-time availability here:","borne, irve, recharge, stationnement, transport",882,"energy-resources, electric-vehicles, ireland, charging-stations, plug-in-hybrid-electric-vessels, transportation- and-commuting"
"Inland waterway transport progressed by only 17 % in nearly three decades. It should however be noted that the efficiency of this transport mode made a big step forward since the transport performance was done with a considerably reduced vessel fleet. For some countries, like the Netherlands, it is the second mode of transport after road, and for other countries, it still has a major share of the market.","Geopolitical entity (reporting), Time frequency, Transport coverage, Type of vessel, Unit of measure",471,"Geopolitical entity (reporting), Time frequency, Transport coverage, Unit of measure"
South Dublin County Boundary,"Boundary, Corporate, County, Government, Local Government, South Dublin, dgigovernment",518,"boundary, boundary markers, dublin, map"
"Resettled persons by age, sex, citizenship and country of previous residence - annual data","Age class, Country of citizenship, Country of residence, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",2034,"Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This indicator shows the percentage of children (under 3 years old) cared for by formal arrangements other than by the family. The indicator is based on the EU-SILC (statistics on income, social inclusion and living conditions).","Age class, Duration, Geopolitical entity (reporting), Time frequency, Unit of measure",36,"Age class, Geopolitical entity (reporting), Time frequency, Unit of measure"
"The export market share is calculated by dividing the exports of the country by the total exports of the region/world (expressed as percentage in the database). The indicator measures the degree of importance of a country within the total exports of the region/world. For the calculation at current prices, the market share refers to the world trade (world export market share). Data on the values of exports of goods and services are compiled as part of the Balance of Payments of each country. The indicator is calculated as % of world total. Source of total world data used as denominator: International Monetary Fund (IMF).","BOP_item, Geopolitical entity (partner), Geopolitical entity (reporting), Stock or flow, Time frequency, Unit of measure",2143,"BOP_item, Geopolitical entity (partner), Geopolitics, Sector and industry, Stock or flow, Time frequency, Unit of measure"
Production of cow's milk on farms by NUTS 2 region,"Geopolitical entity (reporting), Item of milk, Time frequency",86,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Electoral Divisions of Galway City,"Electoral_Divisions, city, dgitowns, galway",1707,"city, city district, city council, dublin, galway, map, dgihousing"
"Precarious employment by sex, age and NACE Rev. 2 activity","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1250,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Construction producer prices or costs, new residential buildings - quarterly data","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",14,"Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure"
Wood and Paper Exports and Imports Value,"WPEI03, cso, forestry",2566,"WMI04, cso, international-accounts"
Vertical extent of depth layer,"BSH, German Bight, Open Data, Western Baltic, cellthickness, open data, opendata, operational model forecast",448,"depth, oceanographic features, time series"
"Private consumption expenditure consists of expenditure incurred for the direct satisfaction of individual or collective needs by private households or non-profit institutions serving households (such as religious societies, sports and other clubs, political parties, etc.).","Geopolitical entity (reporting), Time frequency, Unit of measure",121,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Survey of Thatched Houses carried out between 2004 and 2007 by Galway County Council. See Galway County Heritage Office for further details. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Conservation, Culture and Heritage, Galway, Galway County Council, Heritage, Houses, Thatch, Vernacular, culture and heritage, dgiarts",777,"Galway, Housing and Zoning, Planning, Planning and Development, Thatched House, dgihousing"
"Seat capacity of new motor coaches, buses and trolley buses","Geopolitical entity (reporting), Time frequency, Unit of measure",1640,"Geopolitical entity (reporting), Time frequency, Type of vehicle, Unit of measure"
"Live External Public WiFi locations in County Galway Maintained by Community and Enterprise Section of Galway County Council Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Community, Digital, Galway, Galway County Council, WiFi, dgigovernment, dgiscience, dgisociety",765,"Community, Enterprise, Galway, Galways County Council, Public Services"
Structure of consumption expenditure by activity and employment status of the reference person and COICOP consumption purpose,"Geopolitical entity (reporting), Time frequency, Unit of measure",2069,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Individuals aged 16 years and over use of the internet classified by broad frequency of use (% of individuals),"ICA186, cso, information-society",2735,"Internet use, Geopolitical entity (reporting), Time frequency, Unit of measure"
"Road freight transport vehicle movements by loading status, type of transport and territorial coverage (vehicle-km, journeys)  - annual data","Geopolitical entity (reporting), Loading status, Time frequency, Transport coverage, Type of transport, Unit of measure",1912,"Geopolitical entity (reporting), Loading status, Time frequency, Transport coverage, Unit of measure"
"The UrbIS - Points of interest product corresponds to the points of interest dataset for the Brussels Region. This dataset consists of a single geometric class representing these points of interest.

The dataset is freely downloadable as zipped files and via the ad hoc WFS.","Population and society, Regional, Site, cultural facility, social facility, tourist facility",2065,"Brussels, Geopolitical entity (reporting), Points of interest, Time frequency, Unit of measure"
Housing Supply Coordination Task Force for Dublin Data 2023 https://www.gov.ie/en/organisation/department-of-housing-local-government-and-heritage/,"Housing, Planning Applications, dgihousing",676,"Housing, Planning Applications, dgihousing"
"The share of elderly persons (65 years and more) with an equivalised disposable income below respectively 40%, 50%, 60% and 70% of the national median equivalised disposable income.","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",196,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Victims of Recorded Crime (Sexual Violence) Incidents,"CVA07, crime-and-justice, cso",2305,"CVA13, crime-and-justice, cso"
Total bed days lost due to delayed Discharges,"HSPAG29, cso, department-of-health",2213,"HSPAP23, cso, department-of-health"
"Persons not having indoor flushing toilet for the sole use of their household by level of disability (activity limitation), sex and age","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1552,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Employees by sex, age and economic activity (from 2008 onwards, NACE Rev. 2) - 1 000","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1076,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Children who Provide Regular unpaid Personal Help for a Friend or Family Member,"SCA28, cso, department-of-children-equality-disability-integration-and-youth",2559,"SCA11, cso, department-of-children-equality-disability-integration-and-youth"
Number of dog imports by canton (includes notifications from Liechtenstein).,"canton, companion-animals, dogs, imports",923,"canton, companion-animals, dogs, imports"
"This GIS Dataset holds records from the Badger and Habitat Survey of Ireland 1989-1995. The survey was carried out on behalf of the National Parks and Wildlife Service and the Department of Agriculture. In total, 7 291 km squares were assessed for badger setts and by habitat composition, with surveys undertaken mainly
by Conservation Rangers of the National Parks &amp; Wildlife Service. In order to obtain results on an all-Ireland basis the survey was extended to Northern Ireland. The survey in the North was carried out between 1990 and 1993 by researchers from the Department of Biology and Biochemistry Queen’s University of Belfast with close co-operation between researchers in the North and in the Republic.

This project’s principal found has been to assess the overall numbers of Badgers in Ireland and to provide a base-line for assessment of any future changes in badger numbers, to identify regional variations in density, to evaluate the extent of illegal digging or disturbance of setts and to relate badger density to the distribution and type of habitats present in an area. The overall value of the study has been to provide basic information on Badgers in Ireland and to create a framework for preliminary and further examination of Badgers and habitats in relation to the TB problem in cattle.","biodiversity, environment, heritage, ireland, meles meles, npws, species, species distribution",295,"biodiversity, biota, environment, ireland, mammal, mammiferous plant, npws, protected sites, species distribution"
Weekly RIP Death Notices,"RIP01, cso, mortality-figures-using-public-data-sources",2248,"RIP04, cso, health"
"Distribution of the age at first calving (AFC, in months) by year of slaughter and by breed type of the cow (dairy breeds or beef breeds). The AFC is shown in the range of 20-50 months in the form of a boxplot. The number of observations per year and by breed type can be found in the .csv.","age, calving, cattle, livestock",920,"age, cattle, calving"
"Number of households by household composition, number of children and working status within households (1 000)","Geopolitical entity (reporting), Household composition, Number of children, Time frequency, Unit of measure",1223,"Geopolitical entity (reporting), Number of children, Household composition, Time frequency, Unit of measure"
"Table of INEBase
National General Index. Series from January 1961. Monthly. Consumer Price Index (CPI)","Index, Overall index, Prices, Statistics, Type of data",1116,"Prices, Statistics"
Slaughtering in slaughterhouses - annual data,"Geopolitical entity (reporting), Item of meat, Meat product, Time frequency, Unit of measure",748,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Employed persons by full-time/part-time activity and Nace Rev. 2 activity,"Geopolitical entity (reporting), Time frequency, Unit of measure, Working time",1107,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure, Working time"
"Persons not reading books in the last 12 months by risk of poverty threshold, household composition, degree of urbanization and reasons","Degree of urbanisation, Geopolitical entity (reporting), Household composition, Reason, Time frequency, Unit of measure",1681,"Degree of urbanisation, Geopolitical entity (reporting), Household composition, Reason, Time frequency, Unit of measure"
"Final consumption expenditure consists of expenditure incurred by resident institutional units on goods or services that are used for the direct satisfaction of individual needs or wants or the collective needs of members of the community (ESA 2010 3.94). Data are calculated as chain-linked volumes (i.e. data at previous year's prices, linked over the years via appropriate growth rates). Seasonally and calendar adjusted data.","Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",706,"Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure"
