updated_description,updated_keywords,__index_level_0__,generated_keywords
"E-PRTR data covering reporting for 2007 to 2018 by EU Member States, Iceland, Liechtenstein, Norway, Serbia and Switzerland.","air pollution, environment, health, industrial facilities, ireland, land pollution, waste water, water pollution",285,e-prtr
Trade by number of partner countries and NACE Rev. 2 activity,"Geopolitical entity (partner), Geopolitical entity (reporting), Number of partners, Stock or flow, Time frequency, Unit of measure",3108,partner
Quarterly non-financial accounts for general government,"Geopolitical entity (reporting), Seasonal adjustment, Sector, Time frequency, Unit of measure",2102,Accounts for General Government
Seat/berth capacity of passenger railway vehicles,"Geopolitical entity (reporting), Time frequency, Type of seat/berth, Unit of measure",2007,seat/berth
"Production forecasts for bovines, sheep and goats – thousand heads – bi-annual data","Geopolitical entity (reporting), Item of meat, Meat product, Time frequency, Unit of measure",244,"bovine, sheep, goat"
"Dataset owned and provided by OSi as part of the OSI core database 2009. 

Polyline Dataset Representative of disused railways around Ireland","coastal heritage, disused railways, heritage council, land use, ordnance survey ireland, science, society",399,ireland
"The punctuality metric represents the proportion of trains that, over the course of a month, arrived with a maximum delay of 5 minutes and 59 seconds at their destination or - for trains travelling through Brussel's North-South junction, upon arrival at the first station of the junction on their path.
What is neutralization ?
According to the terms of the management contract, certain categories of delays can be neutralized (meaning that they don't have to be accounted for in the punctuality metrics). For example, delays generated by sources external to Infrabel's or SNCB's activities (railroad crossing accidents, cable thefts, delays from foreign railroad networks, vandalism, assaults...), or delays that are the consequence of planned and communicated infrastructure works, can be neutralized.
The ""neutralized"" punctuality metric is not intended to represent the passenger's observations, but rather to enable Infrabel and the railway operators to draw up their own balance sheet.
In order to have a good general idea of the national punctuality, the punctuality metric ""without neutralization"" should be preferred.","Domestic trains, National, Passengers, Punctuality",1899,"train, punctuality"
Length of other roads within/outside built-up areas,"Geopolitical entity (reporting), Time frequency, Transport infrastructure, Unit of measure",1641,built-up area
"Children in formal childcare or education by age group, duration and income quintile - EU-SILC survey","Age class, Duration, Geopolitical entity (reporting), Income quantile, Time frequency, Unit of measure",200,"children, income"
Number of registered and living cats by their neutering status and sex.,"cats, companion-animals, population-trends",992,"neuter, sex, number"
Driving Test Waiting Time,"ROA36, cso, road-safety-authority-of-ireland",2148,Driving Test Waiting Time
"Unemployment by sex, age and type of employment sought (1 000)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1306,"sex, age, type"
"Harmonised Indices of Consumer Prices (HICP) are designed for international comparisons of consumer price inflation. HICPs are used for the assessment of the inflation convergence criterion as required under Article 121 of the Treaty of Amsterdam and by the ECB for assessing price stability for monetary policy purposes. The ECB defines price stability on the basis of the annual rate of change of the euro area HICP. HICPs are compiled on the basis of harmonised standards, binding for all Member States. Conceptually, the HICP are Laspeyres-type price indices and are computed as annual chain-indices allowing for weights changing each year. HICP are broken down by category of consumption expenditure on the basis of the ECOICOP-HICP classification. HICP are produced and published using a common index reference period (2015 = 100). Growth rates are calculated from published index levels. Indexes, as well as both growth rates with respect to the previous month (M/M-1) and with respect to the corresponding month of the previous year (M/M-12) are neither calendar nor seasonally adjusted.","Geopolitical entity (reporting), Time frequency, Unit of measure",712,hicp
The share of the population aged 30-34 years who have successfully completed university or university-like (tertiary-level) education with an education level ISCED 1997 (International Standard Classification of Education) of 5-6.,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1161,"university, five"
"This repository contains all observational data sets during CALISHTO campaign used for the paper:
Gao, K., Vogel, F., Foskinis, R., Vratolis, S., Gini, M. I., Granakis, K., Billault-Roux, A.-C., Georgakaki, P., Zografou, O., Fetfatzis, P., Berne, A., Papagiannis, A., Eleftheridadis, K., Möhler, O., and Nenes, A.: Biological and dust aerosol as sources of ice nucleating particles in the Eastern Mediterranean: source apportionment, atmospheric processing and parameterization, EGUsphere [preprint], https://doi.org/10.5194/egusphere-2024-511, 2024.","aerosol-cloud-interactions, aerosol-source-apportionment, biological-particles, ice-nucleation, inp-parameterization",1439,calishto-data
Role of Women and Men in National Decision Making,"WMI10, cso, women-and-men-in-ireland",2423,gender
Seasonally Adjusted Monthly Unemployment,"MUM01, cso, labour-market",2155,samu
At-risk-of-poverty rate after deducting housing costs by degree of urbanisation,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure",216,"urbanisation, at-risk-of-poverty"
Tourism Satellite Account Expenditure and Travel,"TSAC01, cso, tourism-and-travel",2363,"Account_Expenditure, Travel"
Proportion of persons released from prison in employment,"CPLJS19, crime-and-justice, cso",2770,prison
"Turnover in industry, domestic market - annual data","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",718,"industry, domesticmarket"
ACTRIS-2 TNA Activity Report,"Air quality, FTIR, NDACC, Observed data, Stratospheric ozone monitoring, calibration, infrared, optimal estimation, ozone, remote sensing, spectra",1474,ACTRIS-2 TNA Activity Report
"Evolution of registered and living equids by equid types and by type of use companion animal. The terms livestock and companion animal, according to the Ordinance on veterinary drugs, solely describe whether an equine qualifies for utilization in the food chain. Under agricultural legislation, equidae are considered livestock (OTerm article 27 cipher 2). The designations imply nothing about the everyday use of an equine.","companion-animals, equid-types, equids, livestock, population-trends, type-of-use",924,"Equidae, livestock"
"This data set contains the reference points that are required to map the barrier-free path between objects (e.g. stopping places, toilets).","accessible-travel, data, prm, proprietary, reference-point, without-transport-service",1319,"Reference point, barrier-free"
"Population on 1 January by age, sex and legal marital status","Age class, Geopolitical entity (reporting), Marital status, Sex, Time frequency, Unit of measure",1465,"age, sex, legal marital status"
Those who experienced sexual violence as a child and disclosed to others by who they first disclosed to (% of persons aged 18 years and over who experienced sexual violence as a child and disclosed),"SVS218, crime-and-justice, cso",2311,"gender, sex"
Distribution of the slaughter weights (in kg) of cows by breed. The number of observations per breed can be found in the .csv. The data on slaughter weights were provided by Proviande.,"breeds, cattle, livestock, slaughter-weights",926,"beef, cow"
"The trade balance of energy products is calculated, for each Member State, as the difference between exports and imports from the rest of the world (intra-EU and extra-EU trade) of goods included in the SITC section 3 - Mineral fuels, lubricants and related materials.The MIP indicator is expressed as percentage of GDP (according to ESA 2010 transmission programme).","External trade indicator, Geopolitical entity (partner), Geopolitical entity (reporting), 2006), Time frequency",179,"imports, mineral"
The National Transport Authority of Ireland has published information on the routes and schedules of transport services providing by various operators across Ireland.,"infrastructure, network, transport",1493,iranian
At-risk-of-poverty rate of persons below-above 65 years by sex – EU-SILC survey,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",181,sex
"Data set used for the publication in the journal Global Change Biology, entitled ""Dynamics of initial C allocation after drought release in mature Norway spruce - Increased belowground allocation of current photoassimilates covers only half of the C used for fine-root growth"".","13c-labeling, belowground-carbon-allocation, carbon-partitioning, climate-change, drought-recovery, forest-ecosystems, picea-abies, watering",2837,"spruce, drought, photoassimilates, fine-root"
"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population","Geopolitical entity (reporting), Time frequency, Unit of measure",3024,"classroom teacher, part-time, student"
Household Total Disposable Income,"ISA06, cso, national-accounts",2720,"affluence, disposable income, family"
"A GIS based quantification of Ireland's freshwater salmon habitat asset to determine the habitat quantity (wetted river and lake surface areas) available to migratory salmonids.  The purpose was to inform the further development of salmon stock recruitment models to provide high quality scientific advice to inform the sustainable management of salmon fisheries in Ireland. The identification of these rivers as Salmon, Sea Trout or other types of systems is still valid and has not changed since the 2003 report was published. It should be noted that rivers identified in 2003 as ‘Not considered a significant producer of migratory Salmonids’ or river segments identified as ‘Not utilised by Salmon’ may hold small populations of salmon and/or sea trout which are important in biodiversity terms. Please note that the wetted areas (riverine habitat (m²)) were revised in 2012 (McGinnity et al., 2012). This work built on the 2003 wetted area report (Mc Ginnity et al., 2003). McGinnity, P.,Gargan, P.,Roche, W., Mills, P. & McGarrigle, M. 2003. Quantification of the Freshwater Salmon Habitat Asset in Ireland using data interpreted in a GIS platform. Irish Freshwater Fisheries, Ecology and Management Series: Number 3, Central Fisheries Board, Dublin, Ireland. McGinnity, P. et al., 2012. A predictive model for estimating river habitat area using GIS-derived catchment and river variables. Fisheries Management and Ecology. 19. 69-77.","Fishery District, Habitat, Salmon, Sea Trout, Wetted Area",1693,iranian fisheries
"An Cheathru Rua Local Area Plan 2015 - 2021 as  incorporated into the
Galway County Development Plan, 2012-2021, by way
of a variation to the existing county development plan. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","An Cheathru Rua, Carraroe, Galway, Housing and Zoning, Local Area Plan, Planning and Development, Zoning, dgihousing",766,incorporated
"The indicator measures the share of population living in households that spend 40 % or more of the household disposable income on housing ('net' of housing allowances). Housing costs include rental or mortgage interest payments but also the cost of utilities such as water, electricity, gas or heating.","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",206,income housing
"The share of persons with an equivalised disposable income, before social transfers, below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Retirement and survivor's pensions are counted as income before transfers and not as social transfers.","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",105,"equivalised disposable income, threshold"
"An electricity production plant is a technical facility for generating electricity. It is in the public interest to have a spatial overview of all electricity production plants in Switzerland. In particular, the expansion of production plants that produce electricity from renewable energy should be presented transparently. The ratio of plants producing electricity from renewable energy to plants producing electricity from non-renewable energy can also be shown. A distinction is made between hydropower, photovoltaics, wind energy, biomass, geothermal energy, nuclear energy, oil, natural gas and coal. This database contains all electricity production plants that are registered in the Swiss proof of origin system and includes all plants with an output exceeding 30 kilovolt-amperes (kVA), as well as small plants (more than 2 kilowatts) that have been voluntarily registered to display proof of origin. The database also includes plants that are subsidised by a feed-in rate, a one-off payment, additional cost financing or an investment contribution (pursuant to Art. 19 and 24; EnA). Only electricity production plants that are in operation are included.","conservation-and-archiving-planning-aap---confederation, energy-resources, fsdi-federal-spatial-data-infrastructure, official-geodata, production-and-industrial-facilities, utility-and-governmental-services",1511,electricity production plant Switzerland
"The industrial import price index (IPI) measures the monthly transaction price development of imported goods purchased from non-domestic areas by domestic residents. IPI permits monthly monitoring of prices for different categories of products or group of products. They are also a means to distinguish real growth of imports from price changes in the foreign trade statistics and in the national accounts. Data are compiled according to the Classification of Products by Activity (CPA). The breakdowns are based on aggregates derived from the MIGs (Main Industrial Groupings). Industrial import prices are compiled as a fixed base year Laspeyres type price-index (except for Luxembourg). The current base year is 2021 (Index 2021 =100). Indexes, as well as both growth rates with respect to the previous month (M/M-1) and with respect to the corresponding month of the previous year (M/M-12) are compiled from raw data.","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",18,"imports, industrial"
Number of cows by beefiness category according to the classification CH-TAX. The data on the CH-TAX classification were provided by Proviande.,"cattle, ch-tax, livestock",912,"cow, beefiness, CH-TAX"
GDP and main aggregates - international data cooperation quarterly data,"Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",498,aggregates gdp
"Live Broadband Connection Points in County Galway Maintained by Community and Enterprise Section of Galway County Council Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Community, Digital, Galway, Galway County Council, WiFi, broadband, dgigovernment, dgiscience, dgisociety",764,"community and enterprise section, county galway, connectivity, live, lbc"
"Table of INEBase
Divorces according to the type of divorce by Autonomous Communities and cities. Annual. Annulments, Separations and Divorces","Contentious divorce, Demography and population, Divorce type, No Contentious divorce, Security and justice, Statistics",2967,"divorce, cities, annulment, divorce"
"The Sentinel-2 fractional vegetation cover (FCover) product for the Netherlands was produced as part of the NextGEOSS project at the German Aerospace Center (DLR). The goal is to derive abundance maps from atmospherically corrected Sentinel-2 multispectral images for: photosynthetically active vegetation (PV); and for combined non-Photosynthetically active vegetation (NPV) and bare soil (BS). 

The FCover product for the Netherlands has been generated by processing 10 cloud-free Sentinel-2 tiles which covered the country on 8 September 2016. The map has a spatial resolution of 60 m x 60 m. The Sentinel-2 scene classification layer was used to ensure that the spectral unmixing was only performed on areas of vegetation or soil. 

The abundance maps were made by performing MESMA unmixing on each pixel from an endmember library of PV and combined NPV + BS spectra. The purest pixels in a scene, called endmembers, were extracted using the Spatial-Spectral Endmember Extraction (SSEE) approach. The PV and NPV+BS endmembers were classified with a random forest approach and selected to form the spectral library. The spectral library was used in the µMESMA unmixing to get the PV and NPV+BS abundances.","land-cover, multispectral-imaging, netherlands, opendata, sentinel-2, soil-cover, vegetation-cover",3127,"a, b, c, dl, Netherlands, Sentinel-2"
"Loughrea Local Area Plan Zoning 2024 - 2030 Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Galway, Housing and Zoning, Local Area Plan, Loughrea, Planning, Planning and Development, dgihousing",775,city of gulway county council
Anonymized consumption data from Umeå Energy per key code area in Umeå Municipality. This data should not be seen as exact and complete consumption values ​​but rather as a qualified estimate of consumption in order to see trends and indications.The data files will only contain values ​​for properties in Umeå municipality where Umeå Energi is the network owner and the information is not considered inappropriate for distribution. Normally updated once a month with new values ​​added.Questions regarding this consumption data are referred to matdata.datalager@umeaenergi.se,"Consumption, District heating, Electricity, Energy",826,import swedish
"Road freight transport by NACE Rev. 2 activity (tkm, vehicle-km,  journeys) - annual data","Geopolitical entity (reporting), Time frequency, Unit of measure",1909,"ace, activity"
Water use in the manufacturing industry by activity and supply category,"Geopolitical entity (reporting), Time frequency, Unit of measure, Water process",3012,"industry, consumption, water"
"Your rights and procedures for associations contain: 100 sheets and questions answers, several resources and links to public sites (forms, online procedures, reference texts, public websites, etc.) to exercise your rights and carry out your steps.","association, associations, dila, service-public, service-public-fr",1813,online
Performance of health technology assessments by the Health Information and Quality Authority,"HSPAL19B, cso, department-of-health",2534,health information and quality authority
"The minimum period taken into account for the calculation of long term annual averages is 20 years. - Actual evapotranspiration is the volume of water transported from the ground (including inland water surfaces) into the atmosphere by evaporation and by transpiration of plants. - Internal flow is the total volume of river run-off and groundwater renewal generated, in natural conditions, exclusively by precipitation into a territory. The internal flow is equal to precipitation less actual evapotranspiration. - Actual external inflow is the total volume of actual inflow of rivers and groundwater coming from neighbouring territories. - Total fresh water resources is the total volume of water that is additionally available due to internal flow and external inflow. - Total actual outflow is the total actual outflow of rivers and groundwater into the sea and into neighbouring territories.","Geopolitical entity (reporting), Time frequency, Unit of measure, Water process",3009,"evapotranspiration, internal flow, total fresh water resources, total actual outflow"
This Data Set contains the listing of the polling station and mapping of same for the European and Local Elections taking place on 7th June 2024 Mapping of Election Locations - please click or visit www.fingal.ie https://experience.arcgis.com/experience/4c0f5ccaa2884150a0fc4d7bfd8d96e3/?draft=true .,"Election, European Elections, Government, Local Elections",3060,polling station
This is the dataset repository of the paper:,"change-detection, deep-learning, remote-sensing, semantic-segmentation",2914,"db2_paper_repository, data"
Electricity available to internal market,"Geopolitical entity (reporting), Time frequency, Unit of measure",689,electricity available to internal market
"Unemployment rates by sex, age and country of birth (%)","Age class, Country/region of birth, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1041,birth country
Graduates Continuing in Further Education,"FEO16, cso, education",2418,Graduates further education
"This Dataset shows the level of treatment of waste water and the quality of Discharges from secondary waste water treatment plants in agglomerations (towns/cities) with a population equivalent of over 500 as required under The Urban Waste Water Treatment Regulations, 2001 (S.I. No. 254 of 2001) and 2004 (S.I. 440 of 2004).","environment, government, ie, industrial waste, plant locations, sewage, sewage disposal, urban wastewater, waste water",292,"urban, wastewater, treatment, agglomeration, town"
"Table of INEBase
Average stay according to type of establishment. Monthly. National. Hostel Occupancy Survey","Catering and tourism, Hostel Occupancy Survey, Statistics, Tourist Lodge, Tourist supply, Type of establishment, Youth hostel",1537,"inebase, average, stay, type"
"Data repository of long-term three-point-bending tests, with and without the influence of water (CaCO3-saturated) on Carrara marble samples. Repository includes sampled data of strain gauge measurements, air temperature and humidity logs.","long-term-test, stress-corrosion, subcritical-crack-growth",2838,water
"The indicator measures the difference between the employment rates of men and women aged 20 to 64. The employment rate is calculated by dividing the number of persons aged 20 to 64 in employment by the total population of the same age group. The indicator shows activity and employment status for four groups of persons: employed persons working full time, employed persons working part time, employed persons with temporary contract and underemployed persons working part time. The indicator is based on the EU Labour Force Survey.","Age class, Geopolitical entity (reporting), Time frequency, Unit of measure",1314,employment_rate_difference
"The ratio of total income received by the 20 % of the population with the highest income (top quintile) to that received by the 20 % of the population with the lowest income (lowest quintile). Income must be understood as equivalised disposable income. The indicator is based on the EU-SILC (statistics on income, social inclusion and living conditions).","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",157,"income, top, quintile"
"As part of the joint federal / Länder measurement program for the North and Baltic Seas, the parameter ""naphthalene in sea water"" was determined in seawater.","2018, BSH, Baltic Sea, Monitoring, NAP, Naphthalene, North Sea, Open Data, Water, open data, opendata",1956,naphthalene
The youth unemployment rate is the unemployment rate of people aged 15 - 24 as a percentage of the labour force of the same age. The unemployment rate is the number of unemployed persons as a percentage of the economically active population (the total number of people employed and unemployed = labour force) based on International Labour Office (ILO) definition. Unemployed persons comprise persons aged 15 to 74 who fulfil all the three following conditions: are without work during the reference week; are available to start work within the next two weeks and have been actively seeking work in the past four weeks or have already found a job to start within the next three months. The MIP Scoreboard indicator is the three years change in percentage points. The indicative threshold is 2.0 pp. The data source is the quarterly EU Labour Force Survey (EU LFS). The survey covers the resident population in private households.,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1156,"employer, age, unemployment"
"The table presents the net flow of debt securities (F.3) for the sectors Non-Financial corporations (S.11), Households (S.14) and Non-Profit institutions serving households (S.15). The debt securities are negotiable financial instruments serving as evidence of debt. Data are presented in non-consolidated terms, i.e. data take into account transactions within the same sector and expressed in % of GDP. Definitions regarding sectors and instruments are based on the ESA 2010.","Consolidated/Non consolidated, Financial position, Geopolitical entity (reporting), Sector, Time frequency, Unit of measure",837,debt securities
"Employment by reason for discrimination in the current job, sex, age, country of birth and educational attainment level","Age class, Country/region of birth, Geopolitical entity (reporting), Reason, Sex, Time frequency, Unit of measure",1099,"gender, age, country of birth, education"
Distribution of households by household size - EU-SILC survey,"Geopolitical entity (reporting), Number of persons, Time frequency, Unit of measure",99,household
"Persons in employment are those who, during the reference week, did any work for pay or profit for at least one hour, or were not working but had jobs from which they were temporarily absent. Family workers are included. The distinction between full-time and part-time work is made on the basis of a spontaneous answer given by the respondent. It is impossible to establish a more exact distinction between part-time and full-time work, due to variations in working hours between Member States and branches of industry.","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1219,"employer, family worker"
Exports and Imports of Services,"BPA05, cso, international-accounts",2477,service import
General Practitioner out of hours total contacts,"HSPAN22, cso, department-of-health",2203,general practitioner
Innovation for Climate Change,"CIS95, cso, innovation-in-irish-enterprises",2172,_klimatchange
"Employees who could not find a permanent or full-time job, by sex and age","Age class, Geopolitical entity (reporting), Reason, Sex, Time frequency, Unit of measure",1247,"sex, age"
T11 Savings and Capital Formation (excluding FISIM),"NAH11, cso, national-accounts",2742,"FISIM, savings"
Recorded Crime - Rathkeale,"SNSA33, cso, sub-national-statistics",2545,raithkeale
"Financial Reports; Prompt payment records; and Purchases over EUR 20,000; General Information;","Contacts, Financial, General Information, Prompt Payments, Purchasing",1610,Financial Reports
